order_name,family_name,genus_name,species_name,median_lat,body_shape,longevity,max_length,min_depth,weight,salinity,age_at_maturity,streams,lakes,feeding_type,neritic,oceanic,mangroves,diet_troph,schooling,benthic,coral_reefs,estuaries,lat_range,temp_min,mouth_type,repro_mode,fertilization,rep_guild_1,rep_guild_2,parental_care
Tetraodontiformes,Monacanthidae,Amanses,Amanses scopas,17.475,short and / or deep,NA,20,3,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,0,1,0,65,NA,NA,NA,NA,NA,NA,NA
Siluriformes,Aspredinidae,Amaralia,Amaralia hypsiura,2.246,elongated,NA,NA,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
Cichliformes,Cichlidae,Amatitlania,Amatitlania nigrofasciata,25.202415,short and / or deep,NA,NA,NA,NA,freshwater,NA,1,1,variable,0,0,0,NA,0,0,0,0,7,20,NA,dioecism,external,guarders,nesters,biparental
Ovalentaria,Ambassidae,Ambassis,Ambassis agassizii,28.629,fusiform / normal,NA,NA,NA,NA,freshwater,NA,1,1,variable,0,0,1,NA,0,0,0,0,12,NA,NA,dioecism,external,nonguarders,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis ambassis,28.6315,short and / or deep,NA,15,NA,NA,NA,NA,0,0,hunting macrofauna (predator),0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis marianus,32.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis natalensis,28.403,fusiform / normal,NA,NA,NA,NA,NA,NA,1,1,hunting macrofauna (predator),0,0,0,NA,0,0,0,1,52,NA,NA,NA,NA,NA,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis sp. 1,7.72368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis sp. 2,6.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ovalentaria,Ambassidae,Ambassis,Ambassis sp. 3,6.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scorpaeniformes,Platycephalidae,Ambiserrula,Ambiserrula jugosa,23.26,NA,NA,NA,15,NA,NA,NA,0,0,NA,0,0,0,NA,0,1,0,1,14,NA,NA,dioecism,external,nonguarders,NA,none
Perciformes,Centrarchidae,Ambloplites,Ambloplites ariommus,31.0534,fusiform / normal,NA,30.5,NA,820,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
Perciformes,Centrarchidae,Ambloplites,Ambloplites cavifrons,NA,fusiform / normal,NA,36,NA,620,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,dioecism,external,guarders,nesters,NA
