"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"54",6793,"Allen, M.J. and G.B. Smith",1988,"Atlas and zoogeography of common fishes in the Bering Sea and northeastern Pacific.","NOAA Tech. Rep. NMFS 66, 151 p.",NA,NA,NA,NA,NA
"55",89707,"Craig, M.T., YJ. Sadovy de Mitcheson and P.C. Heemstra",2011,"Groupers of the world: a field and market guide.","North America: CRC Press/Taylor and Francis Group. 356 p.",NA,NA,NA,NA,NA
"56",30874,"Allen, G.R. and R.C. Steene",1988,"Fishes of Christmas Island Indian Ocean.","Christmas Island Natural History Association, Christmas Island, Indian Ocean, 6798, Australia. 197 p.",NA,NA,NA,NA,NA
"57",3592,"Harmelin-Vivien, M.L. and J.-C. Qu<e9>ro",1990,"Monacanthidae.","p. 1061-1066. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"58",36484,"Willoughby, S., J.D. Neilson and C. Taylor",1999,"The depth distribution of exploited reef fish populations off the south and west coasts of Barbados.","Proc. Gulf Caribb. Fish Inst. 45:57-68.",NA,NA,NA,NA,NA
"59",29003,"Imamura, H.",1996,"Phylogeny of the family Platycephalidae and related taxa (Pisces: Scorpaeniformes).","Species Diversity 1( 2):123-233.",NA,NA,NA,NA,NA
"60",559,"Masuda, H., K. Amaoka, C. Araga, T. Uyeno and T. Yoshino",1984,"The fishes of the Japanese Archipelago. Vol. 1.","Tokai University Press, Tokyo, Japan. 437 p. (text).",NA,NA,NA,NA,NA
"61",7510,"Randall, J.E.",1990,"Cirrhitidae.","p. 851-852. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"62",9360,"Randall, J.E. and M. Goren",1993,"A review of the gobioid fishes of the Maldives.","Ichthyol. Bull. J.L.B. Smith Inst. Ichthyol. (58):1-37, 5 pls.",NA,NA,NA,NA,NA
"63",12260,"Pauly, D., A. Cabanban and F.S.B. Torres Jr.",1996,"Fishery biology of 40 trawl-caught teleosts of western Indonesia.","p. 135-216. In D. Pauly and P. Martosubroto (eds.) Baseline studies of biodiversity:the fish resource of western Indonesia. ICLARM Studies and Reviews 23.",NA,NA,NA,NA,NA
"64",46206,"Eschmeyer, W.N. (ed.)",2003,"Catalog of fishes. Updated database version of March 2003.","Catalog databases as made available to FishBase in March 2003.",43552,40966,NA,NA,NA
"65",4919,"Smith, M.M. and P.C. Heemstra",1986,"Tetraodontidae.","p. 894-903. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"66",26130,"Wischnath, L.",1993,"Atlas of livebearers of the world.","T.F.H. Publications, Inc., United States of America. 336 p.",NA,NA,NA,NA,NA
"67",1998,"Scott, W.B. and E.J. Crossman",1973,"Freshwater fishes of Canada.","Bull. Fish. Res. Board Can. 184: xi+1-966.",114750,114745,10156,10145,NA
"68",58426,"Coad, B.W. and J.D. Reist",2004,"Annotated list of the arctic marine fishes of Canada.","Can. MS Rep. Fish Aquat. Sci. 2674:iv:+112 p.",117245,NA,NA,NA,NA
"69",35388,"Muus, B.J. and J.G. Nielsen",1999,"Sea fish.","Scandinavian Fishing Year Book, Hedehusene, Denmark. 340 p.",4645,42,173,6302,NA
"70",114018,"Bizzarro, J.J., A.N. Peterson, J.M. Blaine, J.P. Balaban, H.G. Greene and A.P. Summers",2016,"Burrowing behavior, habitat, and functional morphology of the Pacific sand lance (<i>Ammodytes personatus</i>).","Fishery Bulletin 114(4):445-460.",NA,NA,NA,NA,NA
"71",33839,"Gomon, M.F., C.J.M. Glover and R.H. Kuiter (eds.)",1994,"The fishes of Australia's south coast.","State Print, Adelaide. 992 p.",33838,33616,44106,NA,NA
"72",58652,"Broad, G.",2003,"Fishes of the Philippines.","Anvil Publishing, Inc., pasi City. 510 pp.",NA,NA,NA,NA,NA
"73",4833,"Talwar, P.K. and A.G. Jhingran",1991,"Inland fishes of India and adjacent countries. Volume 2.","A.A. Balkema, Rotterdam.",NA,NA,NA,NA,NA
"74",9823,"Westneat, M.W.",2001,"Labridae. Wrasses, hogfishes, razorfishes, corises, tuskfishes.","p. 3381-3467. In K.E. Carpenter and V. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific. Vol. 6. Bony fishes part 4 (Labridae to Latimeriidae), estuarine crocodiles. FAO, Rome.",NA,NA,NA,NA,NA
"75",5374,"Gomon, M.F. and J.E. Randall",1984,"Labridae.","In W. Fischer and G. Bianchi (eds.) FAO species identification sheets for fishery purposes. Western Indian Ocean fishing area 51. Vol. 2.",NA,NA,NA,NA,NA
"76",189,"Whitehead, P.J.P., G.J. Nelson and T. Wongratana",1988,"FAO Species Catalogue. Vol. 7. Clupeoid fishes of the world (Suborder Clupeoidei). An annotated and illustrated catalogue of the herrings, sardines, pilchards, sprats, shads, anchovies and wolf-herrings.","FAO Fish. Synop. 125(7/2):305-579. Rome: FAO.",40,187,NA,NA,NA
"77",93252,"Murdy, E.O. and J.A. Musick",2013,"Field guide to fishes of the Chesapeake Bay.","JHU Press, 360 p.",NA,NA,NA,NA,NA
"78",78464,"McEachran, J.D. and J.D. Fechhelm",2005,"Fishes of the Gulf of Mexico.","Vol. 2. Austin : University of Texas Press. viii+1004p.",NA,NA,NA,NA,NA
"79",54218,"Matallanas, J.",2005,"A world overview of species of interest to fisheries. Chapter: Anguilla anguilla.","Retrieved on 05 May 2005, from www.fao.org/figis/servlet/species?fid=2203. 4p. FIGIS Species Fact Sheets. Species Identification and Data Programme-SIDP, FAO-FIGIS",NA,NA,NA,NA,NA
"80",40101,"De Moura, R.L., J.L. Gasparini and I. Sazima",1999,"New records and range extensions of reef fishes in the western South Atlantic, with comments on reef fish distribution along the Brazilian coast.","Rev. Bras. Zool. 16(2):513-530.",NA,NA,NA,NA,NA
"81",188,"Whitehead, P.J.P.",1985,"FAO Species Catalogue. Vol. 7. Clupeoid fishes of the world (suborder Clupeoidei). An annotated and illustrated catalogue of the herrings, sardines, pilchards, sprats, shads, anchovies and wolf-herrings.","FAO Fish. Synop. 125(7/1):1-303. Rome: FAO.",173,187,40,NA,NA
"82",11441,"Randall, J.E.",1995,"Coastal fishes of Oman.","University of Hawaii Press, Honolulu, Hawaii. 439 p.",31924,NA,NA,NA,NA
"83",6773,"Pietsch, T.W. and D.B. Grobecker",1987,"Frogfishes of the world. Systematics, zoogeography, and behavioral ecology.","Stanford University Press, Stanford, California. 420 p.",89426,NA,NA,NA,NA
"84",9269,"Schneider, M. and R.J. Lavenberg",1995,"Antennariidae. Ranisapos.","p. 854-857. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"85",5217,"Cervig<f3>n, F., R. Cipriani, W. Fischer, L. Garibaldi, M. Hendrickx, A.J. Lemus, R. M<e1>rquez, J.M. Poutiers, G. Robaina and B. Rodriguez",1992,"Fichas FAO de identificaci<f3>n de especies para los fines de la pesca. Gu<ed>a de campo de las especies comerciales marinas y de aquas salobres de la costa septentrional de Sur Am<e9>rica.","FAO, Rome. 513 p. Preparado con el financiamento de la Comisi<f3>n de Comunidades Europeas y de NORAD.",3814,NA,NA,NA,NA
"86",44983,"Parin, N.V. and O.D. Borodulina",1986,"Preliminary review of the bathypelagic fish genus <i>Antigonia</i> Lowe (Zeiformes, Caproidae).","Trudy Inst. Okeanol. 121:141-172.",NA,NA,NA,NA,NA
"87",93147,"Van Tassell, J.L., L. Tornabene and P.L. Colin",2012,"Review of the western Atlantic species of <i>Bollmannia</i> (Teleostei: Gobiidae: Gobiosomatini) with the description of a new allied genus and species.","aqua, International Journal of Ichthyology 18(2):61-94.",NA,NA,NA,NA,NA
"88",85409,"Sargent, P.S., D.A. Methven, R.G. Hooper and C.H. McKenzie",2008,"A range extension of the Atlantic silverside, <i>Menidia menidia</i>, to coastal waters of southwestern Newfoundland.","Canadian Field-Naturalist 122(4): 338-344.",NA,NA,NA,NA,NA
"89",57814,"Iglesias, M. and B. Morales-Nin",2001,"Life cycle of the pelagic goby <i>Aphia minuta</i> (Pisces: Gobiidae).","Sci. Mar. 65(3):183-192.",NA,NA,NA,NA,NA
"90",58483,"Kullander, S.O. and W. Staeck",1988,"Description of a new <i>Apistogramma</i> species (Teleostei, Cichlidae) from the Rio Negro in Brazil.","Cybium 12(3):189-201.",NA,NA,NA,NA,NA
"91",30573,"Sommer, C., W. Schneider and J.-M. Poutiers",1996,"FAO species identification field guide for fishery purposes. The living marine resources of Somalia.","FAO, Rome. 376 p.",NA,NA,NA,NA,NA
"92",9002,"Kuiter, R.H.",1993,"Coastal fishes of south-eastern Australia.","University of Hawaii Press. Honolulu, Hawaii. 437 p.",NA,NA,NA,NA,NA
"93",86913,"Russell, B.C.",2000,"Review of the southern temperate fish family Aplodactylidae (Pisces: Perciformes).","J. Nat. Hist. 34(1):2157-2171.",NA,NA,NA,NA,NA
"94",9988,"Frimodt, C.",1995,"Multilingual illustrated guide to the world's commercial coldwater fish.","Fishing News Books, Osney Mead, Oxford, England. 215 p.",NA,NA,NA,NA,NA
"95",9626,"Cervig<f3>n, F.",1993,"Los peces marinos de Venezuela. Volume 2.","Fundaci<f3>n Cient<ed>fica Los Roques, Caracas,Venezuela. 497 p.",NA,NA,NA,NA,NA
"96",10632,"Randall, J.E. and C.L. Smith",1988,"Two new species and a new genus of cardinalfishes (Perciformes: Apogonidae) from Rapa, South Pacific Ocean.","Am. Mus. Novit. (2926):1-9.",NA,NA,NA,NA,NA
"97",4738,"Tortonese, E.",1986,"Apogonidae.","p. 803-809. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. UNESCO, Paris. vol. 2.",NA,NA,NA,NA,NA
