"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"2652",9730,"Tasto, R.N.",1975,"Aspects of the biology of Pacific staghorn sculpin, <i>Leptocottus armatus</i> Girard, in Anaheim Bay.","p. 123-135. In D.E. Lane and C.W. Hill (eds.) The Marine Resources of Anaheim Bay. Fish. Bull. 165.",NA,NA,NA,NA,NA
"2653",12420,"Randall, J.E.",1996,"Second revision of the labrid fish genus <i>Leptojulis</i>, with descriptions of two new species.","Indo-Pac. Fish. (24):20 p.",NA,NA,NA,NA,NA
"2654",27674,"Pipoyan, S.K.",1996,"A new species for Armenia, <i>Leucaspius delineatus</i> -- (Cyprinidae).","J. Ichthyol. 36(1):128-131.",NA,NA,NA,NA,NA
"2655",12046,"Tokranov, A.M.",1990,"Feeding of the yellowfin sole, <i>Limanda aspera</i>, in the southern part of the Bering Sea.","J. Ichthyol. 30(1):59-67.",NA,NA,NA,NA,NA
"2656",42305,"Tokranov, A.M. and A.B. Vinnikov",1991,"Diet of the pacific cod, <i> Gadus morhua macrocephalus</i>, and its position in the food chain in Kamchatkan coastal waters.","J. Ichthyol. 31(5):84-98.",NA,NA,NA,NA,NA
"2657",5204,"Wheeler, A.",1992,"A list of the common and scientific names of fishes of the British Isles.","J. Fish Biol. 41(suppl.A):1-37.",NA,NA,NA,NA,NA
"2658",12484,"van der Elst, R.",1993,"A guide to the common sea fishes of southern Africa. (3rd Ed.).","Struik Publishers, Cape Town. 398 p.",3670,4362,NA,NA,NA
"2659",12114,"Safran, P.",1990,"Drifting seaweed and associated ichthyofauna: floating nursery in Tohoku waters.","La mer 28(4):225-239.",12115,NA,NA,NA,NA
"2660",5262,"Caruso, J.H.",1983,"The systematics and distribution of the lophiid anglerfishes. II. Revisions of the genera <i>Lophiomus</i> and <i>Lophius</i>.","Copeia 1983(1):11-30.",NA,NA,NA,NA,NA
"2661",30424,"Olaso, I. and E. Rodriguez-Marin",1995,"Alimentaci<f3>n de veinte especies de peces demersales pertenecientes a la divisi<f3>n VIIIc del ICES. Oto<f1>o 1991.","Informes T<e9>cnicos, Centro Oceanogr<e1>fico de Santander, Instituto Espa<f1>ol de Oceanograf<ed>a, 56p.",NA,NA,NA,NA,NA
"2662",33985,"Grimes, C.B., K.W. Able and R.S. Jones",1986,"Tilefish, <i>Lopholatilus chamaeleonticeps</i>, habitat, behavior and community structure in Mid-Atlantic and southern New England waters.","Environ. Biol. Fish. 15(4):273-292.",NA,NA,NA,NA,NA
"2663",4533,"Allen, G.R.",1984,"Lutjanidae.","In W. Fischer and G. Bianchi (eds.) FAO species identification sheets for fishery purposes. Western Indian Ocean (Fishing Area 51). volume 3. [var. pag.]. FAO, Rome.",NA,NA,NA,NA,NA
"2664",41834,"Angermeier, P.L.",1982,"Resource seasonality and fish diets in an Illinois stream.","Environ. Biol. Fish. 7(3):251-264.",NA,NA,NA,NA,NA
"2665",86779,"Collette, B.B. and G. Klein-MacPhee (eds.)",2002,"Bigelow and Schroeder<92>s fishes of the Gulf of Maine, third ed.","Caldwell, N.J. : Blackburn Press, 577 p.: ill.; 27 cm.",NA,NA,NA,NA,NA
"2666",75040,"Balanov, A.A., O.Z. Badaev, V.V. Napazakov and V.I. Chuchukalo",2006,"Distribution and some biological features of marbled eelpout <i>Lycodes raridens</i> (Zoarcidae) in the western Bering Sea.","Vorposy Ikhtiologii 46(2):211-218.",NA,NA,NA,NA,NA
"2667",41831,"Garman, G.C.",1991,"Use of terrestrial arthropod prey by a stream-dwelling cyprinid fish.","Environ. Biol. Fish. 30(3):325-331.",NA,NA,NA,NA,NA
"2668",6732,"Ehrich, S.",1986,"Macroramphosidae.","p. 627. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean, Volume 2. Unesco, Paris.",NA,NA,NA,NA,NA
"2669",35950,"Ambrose, D.A.",1996,"Paralepididae: barracudinas.","p. 352-355. In H.G. Moser (ed.) The early stages of fishes in the California Current region. California Cooperative Oceanic Fisheries Investigations (CalCOFI) Atlas No. 33. 1505p.",NA,NA,NA,NA,NA
"2670",5246,"Dooley, J.K.",1978,"Malacanthidae.","In W. Fischer (ed.) FAO species identification sheets for fishery purposes. Western Central Atlantic (Fishing Area 31). Volume 3. FAO, Rome.",NA,NA,NA,NA,NA
"2671",54194,"Nesin, A.V. and A.M. Orlov",2001,"New data on the biology of the snailfish <i>Careproctus cf. cyclocephalus</i> (Liparidae,Scorpaeniformes) from the Pacific waters off the northern Kuril Islands.","J. Ichthyol. 41(9):739-745.",NA,NA,NA,NA,NA
"2672",28068,"Hyslop, E.J.",1986,"The food habits of four small-sized species of Mormyridae from the floodplain pools of the Sokoto-Rima river basin, Nigeria.","J. Fish Biol. 28:147-151.",NA,NA,NA,NA,NA
"2673",52177,"Abe, N.",1997,"Ecology of non-cichlids in the littoral zone of Lake Tanganyika.","p. 241-256. In H. Kawanabe, M. Hori and M. Nagoshi (eds.) Fish Communities in Lake Tanganyika. Kyoto University Press, Kyoto.",45232,NA,NA,NA,NA
"2674",37065,"van der Waal, B.C.W. and P.H. Skelton",1984,"Check list of fishes of Caprivi.","Madoqua 13(4):303-320.",NA,NA,NA,NA,NA
"2675",7017,"Coates, D.",1987,"Observations on the biology of tarpon, <i>Megalops cyprinoides</i> (Broussonet) (Pisces: Megalopidae), in the Sepik River, northern Papua New Guinea.","Aust. J. Mar. Freshwat. Res. 38(4):529-535.",NA,NA,NA,NA,NA
"2676",6345,"Cohen, D.M.",1984,"Bathylagidae.","p. 392-394. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean, Volume 1. Unesco, Paris.",NA,NA,NA,NA,NA
"2677",6525,"Cohen, D.M.",1990,"Melanonidae.","p. 540. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"2678",42779,"Carr, W.E.S. and C.A. Adams",1973,"Food habits of juvenile marine fishes occupying seagrass beds in the estuarine zone near crystal river, Florida.","Trans. Am. Fish. Soc. 102(3):511-540.",NA,NA,NA,NA,NA
"2679",13501,"Welsh, W.W. and C.M. Breder Jr.",1923,"Contributions to life histories of Sciaenidae of the Eastern United States Coast.","Bull. U.S. Bur. Fish., 39:141-201.",39467,NA,NA,NA,NA
"2680",4772,"Svetovidov, A.N.",1986,"Merlucciidae.","p. 677-679. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"2681",26273,"Waters, T.F., J.P. Kaehler, T.J. Polomis and T.J. Kwak",1993,"Production dynamics of smallmouth bass in a small Minnesota stream.","Trans. Am. Fish. Soc. 122(4):588-598.",NA,NA,NA,NA,NA
"2682",42192,"Schramm, H.L. Jr. and M.J. Maceina",1986,"Distribution and diet of Suwannee bass and largemouth bass in the lower Santa Fe River, Florida.","Environ. Biol. Fish. 15(3):221-228.",NA,NA,NA,NA,NA
"2683",9672,"Turner, J.L.",1966,"Distribution and food habits of centrarchid fishes in the Sacramento-San Joaquin Delta.","p. 144-153. In J.L. Turner and D.W. Kelly (comp.) Ecological studies of the Sacramento-San Joaquin Delta. Part II Fishes of the Delta, Fish. Bull. 136.",NA,NA,NA,NA,NA
"2684",9007,"Howard, R.K. and J.D. Koehn",1985,"Population dynamics and feeding ecology of pipefish (Syngnathidae) associated with eelgrass beds of Western Port, Victoria.","Aust. J. Mar. Freshwat. Res. 36(3):361-370.",NA,NA,NA,NA,NA
"2685",13431,"Bell, J.D., J.J. Burchmore and D.A. Pollard",1978,"Feeding ecology of three sympatric species of leatherjackets (Pisces: Monacanthidae) from a <i>Posidonia</i> seagrass in New South Wales.","Aust. J. Mar. Freshwat. Res. 29(5):631-643.",NA,NA,NA,NA,NA
"2686",43782,"Whitfield, A.K.",1985,"The role of zooplankton in the feeding ecology of fish fry from some southern African estuaries.","S. Afr. J. Zool. 20(3):166-171.",NA,NA,NA,NA,NA
"2687",34202,"Yang, D., F. Chen, D. Li and B. Liu",1997,"Preliminary study on the food composition of mud eel,<i>Monopterus albus</i>.","Acta Hydrobiol. Sin. 21(1):24-30.",NA,NA,NA,NA,NA
"2688",9536,"Fricke, R. and W.F. Smith-Vaniz",1981,"Callionymidae.","In W. Fischer, G. Bianchi and W.B. Scott (eds.) FAO species identification sheets for fishery purposes. Eastern Central Atlantic; fishing areas 34, 47 (in part). Vol. 1 FAO, Rome.",NA,NA,NA,NA,NA
"2689",49090,"Cooke, S.J. and C.M. Bunt",1999,"Spawning and reproductive biology of the greater redhorse, <i>Moxostoma valenciennesi</i>, in the Grand River, Ontario.","Can. Field-Natur. 113(3):497-502.",NA,NA,NA,NA,NA
"2690",44511,"Lombarte, A., L. Recasens, M. Gonz<e1>lez and L.G. de Sola",2000,"Spatial segregation of two species of Mullidae (<i>Mullus surmuletus</i> and <i>M. barbatus</i>) in relation to habitat.","Mar. Ecol. Prog. Ser. 206:239-249.",NA,NA,NA,NA,NA
"2691",34205,"Devadoss, P. and P.K.M. Pillai",1979,"Observations on the food and feeding habits of the eel, <i>Muraenesox cinereus</i> (Forskal) from Porto Novo.","Indian J. Fish. 26(1):244-247.",NA,NA,NA,NA,NA
"2692",30599,"Adams, S.M.",1976,"Feeding ecology of eelgrass fish communities.","Trans. Am. Fish. Soc. 105(4):514-519.",NA,NA,NA,NA,NA
"2693",6930,"Rodriguez, W.T.",1984,"Estudio preliminar para evaluar las caracteristicas biologicas pesqueras de <i>Mycteroperca olfax</i> en las islas Galapagos (Ecuador).","Bol. Cient. T<e9>c., Inst. Nac. de Pesca, Guayaquil-Ecuador 6(3):3-66.",NA,NA,NA,NA,NA
"2694",6852,"Thomson, D.A., L.T. Findley and A.N. Kerstitch",1979,"Reef fishes of the Sea of Cortez. The rocky-shore fishes of the Gulf of California.","John Wiley and Sons, New York. 302 p.",5222,NA,NA,NA,NA
"2695",6329,"Ortega, H. and R.P. Vari",1986,"Annotated checklist of the freshwater fishes of Peru.","Smithson. Contrib. Zool. (437):1-25.",NA,NA,NA,NA,NA
"2696",33762,"Lazzari, M.A., K.W. Able and M.P. Fahay",1989,"Life history and food habits of the grubby, <i>Myoxocephalus aeneus</i> (Cotttidae), in a Cape Cod Estuary.","Copeia 1989(1):7-12.",NA,NA,NA,NA,NA
"2697",12419,"Randall, J.E. and D.W. Greenfield",1996,"Revision of the Indo-Pacific holocentrid fishes of the genus <i>Myripristis</i>, with descriptions of three new species.","Indo-Pac. Fish. (25):61 p.",NA,NA,NA,NA,NA
"2698",43630,"Natarajan, P. and C.M. Aravindan",2000,"Studies on life history traits of inland fishes of Kerala for developing conservation programme.","p. 267-268. In Ponniah, A.G. and Gopalakrishnan, A. (eds.). Endemic Fish Diversity of Western Ghats. NBFGR-NATP Publication-1, 347 p. National Bureau of Fish Genetic Resources, Lucknow, U.P., India.",NA,NA,NA,NA,NA
"2699",3573,"Thomson, J.M.",1986,"Mugilidae.","p. 344-349. In J. Daget, J.-P. Gosse and D.F.E. Thys van den Audenaerde (eds.) Check-list of the freshwater fishes of Africa (CLOFFA). ISNB, Brussels, MRAC; Tervuren; and ORSTOM, Paris. Vol. 2.",NA,NA,NA,NA,NA
"2700",27892,"Gill, H.S. and D.L. Morgan",1998,"Larval development of <i>Nannatherina balstoni</i> Regan (Nannopercidae), with a description of ontogenetic changes in diet.","Ecol. Freshwat. Fish 7:132-139.",NA,NA,NA,NA,NA
"2701",272,"Teugels, G.G., C. L<e9>v<ea>que, D. Paugy and K. Traor<e9>",1988,"<c9>tat des connaissances sur la faune ichtyologique des bassins c<f4>tiers de C<f4>te d'Ivoire et de l'ouest du Ghana.","Rev. Hydrobiol. Trop. 21(3):221-237.",NA,NA,NA,NA,NA
"2702",53585,"Mooi, R.D and A.C. Gill",2004,"Notograptidae, sister to <i>Acanthoplesiops</i> Regan (Teleostei: Plesiopidae: Acanthoclininae) with comments on biogeography, diet and morphological convergence with Congrogadinae (Teleostei: Pseudochromidae).","Zool. J. Linn. Soc. 141(2):179-205.",NA,NA,NA,NA,NA
"2703",13486,"W<f6>hler, O.C. and F. Sanchez",1994,"Feeding ecology of casta<f1>eta (<i>Cheilodactylus bergi</i>; Pisces: Cheilodactylidae) in the South-western Atlantic (34-47<b0>S).","Aust. J. Mar. Freshwat. Res. 45(4):507-520.",NA,NA,NA,NA,NA
"2704",42934,"Costa, W.J.E.M.",2002,"The neotropical seasonal fish genus <i>Nematolebias</i> (Cyprinodontiformes: Rivulidae: Cynolebiatinae): taxonomic revision with description of a new species.","Ichthyol. Explor. Freshwat. 13(1):41-52.",NA,NA,NA,NA,NA
"2705",12565,"Blaber, S.J.M., D.T. Brewer and J.P. Salini",1994,"Diet and dentition in tropical ariid catfishes from Australia.","Environ. Biol. Fish. 40:159-174.",40908,NA,NA,NA,NA
"2706",30769,"Yuma, M., T. Narita, M. Hori and T. Kondo",1998,"Food resources of shrimp-eating cichlid fishes in Lake Tanganyika.","Environ. Biol. Fish. 52(1-3):371-378.",NA,NA,NA,NA,NA
"2707",42266,"Dou, S. and D. Chen",1994,"Taxonomy, biology and abundance of icefishes, or noodlefishes (Salangidae), in the Yellow River estuary of the Bohai Sea, China.","J. Fish Biol. 45:737-748.",NA,NA,NA,NA,NA
"2708",6690,"Hulley, P.A.",1984,"Neoscopelidae.","p. 426-428. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"2709",27663,"Allen, G.R. and M.N. Feinberg",1998,"Descriptions of a new genus and four new species of freshwater catfishes (Plotosidae) from Australia.","Aqua J. Ichthyol. Aquat. Biol. 3(1):9-18.",NA,NA,NA,NA,NA
"2710",57556,"Randall, J.E., P.S. Lobel and C.W. Kennedy",2005,"Comparative ecology of the gobies <i>Nes longus</i> and <i>Ctenogobius saepepallens</i> both symbiotic with the snapping shrimp <i>Alpheus floridanus</i>.","Environ. Biol. Fish. 74:119-127.",NA,NA,NA,NA,NA
"2711",12579,"Vegas, G.E. and G. Peque<f1>o",1993,"Contribution to the biology of <i>Normanichthys crockeri</i> Clark, 1937 (Osteichthyes, Scorpaeniformes).","Rev. Biol. Mar. 28(1):1-36.",NA,NA,NA,NA,NA
"2712",28034,"Sinis, A.I.",2004,"First documented record of <i>Lampris guttatus</i> (Br<fc>nnich, 1788) opah, in Greek seas.","J. Biol. Res. 2:101-104.",NA,NA,NA,NA,NA
"2713",12047,"Lipskaya, N.Y., V.N. Yefremenko, M.V. Serebryakova and B.A. Kenzhin",1992,"Nutrition of <i>Notolepis coatsi</i> (Paralepididae) in the pelagic zone of the Antarctic.","J. Ichthyol. 32(2):133-138.",NA,NA,NA,NA,NA
"2714",38440,"Iken, K., E.R. Barrera-Oro, M.L. Quartino, R.J. Casaux and T. Brey",1997,"Grazing by the Antarctic fish <i>Notothenia coriiceps</i>: evidence for selective feeding on macroalgae.","Antarc. Sci. 9(4):386-391.",38408,28025,NA,NA,NA
"2715",42157,"Johnson, J.H. and D.S. Dropkin",1993,"Diel variation in diet composition of a riverine fish community.","Hydrobiologia 271(3):149-158.",NA,NA,NA,NA,NA
"2716",28097,"Gutowski, M.J. and J.R. Stauffer Jr.",1993,"Selective predation by <i>Noturus insignis</i> (Richardson) (Teleostei: Ictaluridae) in the Delaware River.","Am. Midl. Nat. 129(2):309-318.",NA,NA,NA,NA,NA
"2717",55397,"Thomas, M.R. and B.M. Burr",2004,"<i>Noturus gladiator</i>, a new species of madtom (Siluriformes: Ictaluridae) from Coastal Plain streams of Tennessee and Mississippi.","Ichthyol. Explor. Freshwat. 15(4):351-368.",NA,NA,NA,NA,NA
"2718",41410,"Tokranov, A.M.",1992,"Dietary characteristics of sea poachers (Agonidae) in the coastal waters of Kamchatka.","J. Ichthyol. 32(9):85-94.",NA,NA,NA,NA,NA
"2719",39085,"Gibran, F.Z. and R.M.C. Castro",1999,"Activity, feeding behaviour and diet of <i>Ogcocephalus vespertilio</i> in southern west Atlantic.","J. Fish Biol. 55(3):588-595.",NA,NA,NA,NA,NA
"2720",40402,"Sazima, I. and V.S. Uieda",1980,"Comportamento lepidof<e1>gico de <i>Oligoplites saurus</i> e registro de lepidofagia em <i>O. palometa</i> e <i>O. saliens</i> (Pisces, Carangidae).","Rev. Bras. Biol. 40(4):701-710.",NA,NA,NA,NA,NA
"2721",34216,"Grosman, M.F., J.R. Gonzalez-Castelain and E.J. Usunoff",1996,"Trophic niches in an Argentine pond as a way to assess functional relationships between fishes and other communities.","Water S.A. 22 (4):345-350.",NA,NA,NA,NA,NA
"2722",6692,"Post, A.",1984,"Omosudidae.","p. 496-497. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"2723",2,"Trewavas, E.",1983,"Tilapiine fishes of the genera <i>Sarotherodon</i>, <i>Oreochromis</i> and <i>Danakilia</i>.","British Mus. Nat. Hist., London, UK. 583 p.",1,121,81,159,115
"2724",3,"Philippart, J.-C. and J.-C. Ruwet",1982,"Ecology and distribution of tilapias.","p. 15-60. In R.S.V. Pullin and R.H. Lowe-McConnell (eds.) The biology and culture of tilapias. ICLARM Conf. Proc. 7.",81,2,NA,NA,NA
"2725",87,"Lowe-McConnell, R.H.",1982,"Tilapias in fish communities.","p. 83-113. In R.S.V. Pullin and R. H. Lowe-McConnell (eds.) The biology and culture of tilapias. ICLARM Conf. Proc. 7. 432 p.",NA,NA,NA,NA,NA
"2726",58933,"Yamamoto, T.",1975,"Medaka (killifish): Biology and strains.","Keigaku Pub. Co., Tokyo, pp.365.",NA,NA,NA,NA,NA
"2727",26717,"Yang, J.-X.",1991,"The fishes of Fuxian Lake, Yunnan, China, with description of two new species.","Ichthyol. Explor. Freshwat. 2(3):193-202.",89718,NA,NA,NA,NA
"2728",43636,"Chandrashekhariah, H.N., M.F. Rahman and S. Lakshmi Raghavan",2000,"Status of fish fauna in Karnataka.","p. 98-135. In Ponniah, A.G. and A. Gopalakrishnan (eds.). Endemic Fish Diversity of Western Ghats. NBFGR-NATP Publication. National Bureau of Fish Genetic Resources, Lucknow, U.P., India. 1, 347 p.",NA,NA,NA,NA,NA
"2729",42107,"Doi, A., R. Komatsu and D.I. Hartoto",2000,"Fish occurring in a black water Oxbow Lake in South Borneo.","Rep. Suwa Hydrobiol. 12:25-28.",NA,NA,NA,NA,NA
"2730",4796,"Beeckman, W. and A.F. De Bont",1985,"Characteristics of the Nam Ngum reservoir eco-system as deduced from the food of the most important fish-species.","Verh. Int. Ver. Limnol. 22:2643-2649.",NA,NA,NA,NA,NA
"2731",12371,"Val, A.L. and V.M.F. de Almeida-Val",1995,"Fishes of the Amazon and their environment: physiological and biochemical aspect.","Springer-Verlag Berlin, Germany. 245 p.",NA,NA,NA,NA,NA
"2732",46685,"Fishelson, L., M. Goren and O. Gon",1997,"Black gut phenomenon in cardinal fishes (Apogonidae, Teleostei).","Mar. Ecol. Prog. Ser. 161:295-298.",NA,NA,NA,NA,NA
"2733",2141,"Randall, J.E. and E.A. Lachner",1986,"The status of the Indo-West Pacific cardinalfishes <i>Apogon aroubiensis</i> and <i>A. nigrofasciatus</i>.","Proc. Biol. Soc. Wash. 99(1):110-120.",NA,NA,NA,NA,NA
"2734",9039,"Domanevskaya, M.V. and F.A. Patokina",1984,"Feeding of the large-eyed dogtooth, <i>Dentex macrophthalmus</i>, and Spanish bream, <i>Pagellus acarne</i>, from the entral-Eastern Atlantic Ocean.","J. Ichthyol. 24(5):107-112.",NA,NA,NA,NA,NA
"2735",2921,"Teugels, G.G.",1990,"Pantodontidae.","p. 116-118. In C. L<e9>v<ea>que, D. Paugy and G.G. Teugels (eds.) Faune des poissons d'eaux douces et saum<e2>tres de l'Afrique de l'Ouest. Tome 1. Coll. Faune Trop. 28. Mus<e9>e Royal de l'Afrique Centrale, Tervuren and <c9>ditions de l'ORSTOM, Paris. 384 p.",NA,NA,NA,NA,NA
"2736",42919,"Nieder, J.",1997,"Seasonal variation in feeding patterns and food niche overlap in the Mediterranean blennies <i>Scartella cristata</i>, <i>Parablennius pilicornis</i> and <i>Lipophrys trigloides</i> (Pisces: Blenniidae).","Mar. Ecol. 18(3):227-237.",NA,NA,NA,NA,NA
"2737",32612,"Gibson, R.N.",1999,"Movement and homing in intertidal fishes.","p. 97-125. In M.H. Horn, K.L.M. Martin and M.A. Chotkowski (eds.) Intertidal fishes. Life in two worlds. Academic Press. 399 p.",NA,NA,NA,NA,NA
"2738",9701,"Paulin, C.",1993,"Review of the Australian fish Family Arripididae (Percomorpha), with the description of a new species.","Aust. J. Mar. Freshwat. Res. 44(3):459-471.",NA,NA,NA,NA,NA
"2739",58543,"Ball<f3>n, R.M.",2005,"Comparative analysis of the community structure and trophic relations of the Peruvian hake <i>Merluccius gayi peruanus</i> and its by-catch of the years 1985 and 2001.","Msc. Thesis in International Studies in Aquatic Tropical Ecology, University of Bremen, Germany:-.",NA,NA,NA,NA,NA
"2740",13811,"Love, M.S. and A.W. Ebeling",1978,"Food and habitat of three switch-feeding fishes in the kelp forests off Santa Barbara, California.","Fish. Bull. 76(1):257-271.",NA,NA,NA,NA,NA
"2741",5759,"Post, A.",1984,"Paralepididae.","p. 498-508. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"2742",26621,"Able, K.W. and S.C. Kaiser",1994,"Synthesis of summer flounder habitat parameters.","NOAA Coastal Ocean Program Decision Analysis Ser. 1. NOAA Coastal Ocean Office, Silver Spring. 68 pp.",NA,NA,NA,NA,NA
"2743",44452,"Prisco, A.R., S.B. Garc<ed>a de la Rosa and J.M. D<ed>az de Astarloa",2001,"Feeding ecology of flatfish juveniles (Pleuronectiformes) in Mar Chiquita Coastal Lagoon (Buenos Aires, Argentina).","Estuaries 24(6A):917-925.",NA,NA,NA,NA,NA
"2744",31103,"Allen, G.R.",1998,"A review of the marine catfish genus <i>Paraplotosus</i> (Plotosidae) with the description of a new species from north-western Australia.","Raf. Bull. Zool. 46(1):123-134.",NA,NA,NA,NA,NA
"2745",27958,"Meyer, M. and M.J. Smale",1991,"Predation patterns of demersal teleosts from the Cape south and west coasts of South Africa.1. Pelagic predators.","S. Afr. J. Mar. Sci. 11:173-191.",NA,NA,NA,NA,NA
"2746",33496,"Kulbicki, M. and L. Wantiez",1990,"Variations in the fish catch composition in the Bay of St. Vincent, New Caledonia, as determined by experimental trawling.","Aust. J. Mar. Freshwat. Res. 41:121-44.",NA,NA,NA,NA,NA
"2747",12529,"Rodriguez, A.",1996,"R<e9>gime alimentaire de deux Soleidae, Solea lascaris et Solea impar de la c<f4>te ouest de Bretagne.","Cybium 20(3):261-277.",NA,NA,NA,NA,NA
"2748",34152,"Rao, T.A.",1980,"Food and feeding habits of <i>Pennahia macrophthalmus</i> Bleeker at Visakhapatnam.","Indian J. Fish. 27(1-2):61-65.",NA,NA,NA,NA,NA
"2749",2702,"Vergara, R.",1978,"Stromateidae.","In W. Fischer (ed.) FAO species identification sheets for fishery purposes. Western Central Atlantic (fishing area 31). Vol. 5. FAO, Rome. pag. var.",NA,NA,NA,NA,NA
"2750",43878,"Kolotin, Y.M.",1983,"Morphoecological peculiarities of the bream, <i>Abramis brama orientalis</i> (Cyprinidae), from Lake Balkhash.","J. Ichthyol. 23(4):46-55.",NA,NA,NA,NA,NA
"2751",5218,"Murdy, E.O.",1989,"A taxonomic revision and cladistic analysis of the oxudercine gobies (Gobiidae: Oxudercinae).","Rec. Aust. Mus., Suppl. 11:1-93.",NA,NA,NA,NA,NA
"2752",527,"Hutchins, J.B.",1986,"Review of the monacanthid fish genus <i>Pervagor</i>, with descriptions of two new species.","Indo-Pac. Fish. (12):35 p.",NA,NA,NA,NA,NA
"2753",13633,"Bisht, R.S. and S.M. Das",1981,"Observations on aquatic insects as food of fishes and the predatory action of some aquatic insects on fish and fish food.","J. Inland Fish. Soc. India 13(2):80-86.",NA,NA,NA,NA,NA
"2754",13512,"Yamaoka, K.",1990,"Feeding behavior of <i>Asprotilapia leptura</i>, an epilithic algal feeding cichlid fish in Lake Tanganyika.","Jap. J. Ichthyol. 37(1):80-82.",NA,NA,NA,NA,NA
"2755",55513,"Odum, O. and M. Anuta",2001,"The food and feeding habits of <i>Phractolaemus anosrgii</i> (Boulenger) from Warri River, Nigeria.","J. Aquat. Sci. 16(1):18-21.",NA,NA,NA,NA,NA
"2756",33057,"Litvak, M.K. and R.I.C. Hansell",1990,"Investigation of food habit and niche relationships in a cyprinid community.","Can. J. Zool. 68:1873-1879.",NA,NA,NA,NA,NA
"2757",50436,"Gonz<e1>lez, P. and C. Oyarz<fa>n",2003,"Diet of the Chilean sandperch, <i>Pinguipes chilensis</i> (Perciformes, Pinguipedidae) in the southern Chile.","J. Appl. Ichthyol. 19(6):371-375.",NA,NA,NA,NA,NA
"2758",42173,"Greger, P.D. and J.E. Deacon",1987,"Diel food utilization by woundfin, <i>Plagopterus argentissimus</i>, in Virgin River, Arizona.","Environ. Biol. Fish. 19(1):73-77.",NA,NA,NA,NA,NA
"2759",56650,"Aguiaro, T., C.W.C. Branco, J.R. Verani and E.P. Caramaschi",2003,"Diet of the clupeid fish <i>Platanichthys platana</i> (Regan, 1917) in two different Brazilian coastal lagoons.","Braz. Archives Biol.Technol. 46(2):215-222.",NA,NA,NA,NA,NA
"2760",27245,"State Pollution Control Commission",1982,"The ecology of fish in Botany Bay - biology of commercially and recreationally valuable species.","Environmental Control Study of Botany Bay. Sydney. 287 p.",6390,NA,NA,NA,NA
"2761",28189,"Platell, M.E. and I.C. Potter",1998,"Distributions, size compositions and diets of two abundant benthic ambush-feeding teleosts in coastal waters of south-western Australia.","J. Mar. Biol. Ass. U.K. 78(2):587-608.",NA,NA,NA,NA,NA
"2762",12080,"Olund, L.J. and F.B. Cross",1961,"Geographic variation in the North American cyprinid fish, <i>Hybopsis gracilis</i>.","Univ. Kansas Pub. Mus. Natur. Hist. 13(7):323-348.",1998,NA,NA,NA,NA
"2763",2135,"Roux, C.",1986,"Pomadasyidae.","p. 327-330. In J. Daget, J.-P. Gosse and D.F.E. Thys van den Audenaerde (eds.) Check-list of the freshwater fishes of Africa (CLOFFA). ISNB, Brussels; MRAC, Tervuren; and ORSTOM, Paris. Vol. 2.",NA,NA,NA,NA,NA
"2764",41744,"Karmovskaya, E.S.",1990,"New species of conger eels from southeastern Pacific Seamounts.","J. Ichthyol. 30(7):1-10.",NA,NA,NA,NA,NA
"2765",6373,"Tokranov, A.M.",1992,"Diet of alligator fishes of the genus <i>Podothecus</i> (Agonidae) in the coastal waters of Kamchatka.","J. Ichthyol. 32(5):23-30.",NA,NA,NA,NA,NA
"2766",33857,"Hay, C.J., B.J. van Zyl, F.H. van der Bank, J.T. Ferreira and G.J. Steyn",1999,"The distribution of freshwater fish in Namibia.","Cimbebasia 15:41-63.",NA,NA,NA,NA,NA
